modality,split,evaluation_scope,shared_group,shared_only,count,m2i_top1_mean,m2i_top1_std,m2i_top1_min,m2i_top1_max,m2i_top5_mean,m2i_top5_std,m2i_top5_min,m2i_top5_max,m2i_two_way_mean,m2i_two_way_std,m2i_two_way_min,m2i_two_way_max,baseline_top1_pct_mean,baseline_top1_pct_std,baseline_top1_pct_min,baseline_top1_pct_max,baseline_top5_pct_mean,baseline_top5_pct_std,baseline_top5_pct_min,baseline_top5_pct_max,retrieval_dataset_size_mean,retrieval_dataset_size_std,retrieval_dataset_size_min,retrieval_dataset_size_max,number_of_classes_mean,number_of_classes_std,number_of_classes_min,number_of_classes_max,i2m_top1_mean,i2m_top1_std,i2m_top1_min,i2m_top1_max,i2m_top5_mean,i2m_top5_std,i2m_top5_min,i2m_top5_max,i2m_two_way_mean,i2m_two_way_std,i2m_two_way_min,i2m_two_way_max
eeg,test,pair,shared-eeg-meg,True,1,11.0,0.0,11.0,11.0,22.0,0.0,22.0,22.0,83.9,0.0,83.9,83.9,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,8.0,0.0,8.0,8.0,20.0,0.0,20.0,20.0,75.66,0.0,75.66,75.66
meg,test,pair,shared-eeg-meg,True,1,3.5,0.0,3.5,3.5,13.5,0.0,13.5,13.5,75.68,0.0,75.68,75.68,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,2.0,0.0,2.0,2.0,10.5,0.0,10.5,10.5,70.92,0.0,70.92,70.92
