file_name,source_modality,source_subject,target_modality,target_subject,split,evaluation_scope,shared_group,shared_only,candidate_count,source_checkpoint,target_checkpoint,forward_label,forward_reference_mode,forward_reference_two_way,forward_scope_reference_two_way,forward_full_reference_two_way,forward_top1,forward_top5,forward_two_way,forward_normalized_two_way,forward_normalized_two_way_full,reverse_label,reverse_reference_mode,reverse_reference_two_way,reverse_scope_reference_two_way,reverse_full_reference_two_way,reverse_top1,reverse_top5,reverse_two_way,reverse_normalized_two_way,reverse_normalized_two_way_full
eeg_sub03_to_meg_sub03_test.txt,eeg,3,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,1.5,9.0,74.99,0.9248889985199802,nan,meg_to_eeg,matched_scope,87.79,87.79,nan,6.0,12.0,75.28,0.857500854311425,nan
eeg_sub03_to_meg_sub04_test.txt,eeg,3,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,2.0,6.5,66.83,0.9930163447251115,nan,meg_to_eeg,matched_scope,87.79,87.79,nan,1.0,6.0,66.4,0.7563503815924365,nan
eeg_sub04_to_meg_sub01_test.txt,eeg,4,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,2.0,6.0,69.07,0.9126585623678645,nan,meg_to_eeg,matched_scope,87.87,87.87,nan,2.0,10.5,68.89,0.7839990895641288,nan
eeg_sub04_to_meg_sub02_test.txt,eeg,4,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,4.0,15.5,78.95,0.934430110072198,nan,meg_to_eeg,matched_scope,87.87,87.87,nan,5.0,12.5,79.26,0.902014339364971,nan
eeg_sub04_to_meg_sub03_test.txt,eeg,4,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,1.5,14.0,76.36,0.9417858904785398,nan,meg_to_eeg,matched_scope,87.87,87.87,nan,2.5,11.5,76.75,0.8734494139069079,nan
eeg_sub04_to_meg_sub04_test.txt,eeg,4,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,2.5,6.0,66.26,0.9845468053491829,nan,meg_to_eeg,matched_scope,87.87,87.87,nan,0.5,5.0,66.13,0.752589052008649,nan
eeg_sub05_to_meg_sub01_test.txt,eeg,5,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub05_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,eeg_to_meg,matched_scope,75.68,75.68,nan,1.0,7.0,66.39,0.8772463002114165,nan,meg_to_eeg,matched_scope,79.07,79.07,nan,1.5,6.0,66.22,0.8374857721006703,nan
eeg_sub05_to_meg_sub02_test.txt,eeg,5,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub05_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,eeg_to_meg,matched_scope,84.49,84.49,nan,2.0,15.0,76.03,0.8998698070777608,nan,meg_to_eeg,matched_scope,79.07,79.07,nan,4.0,17.5,76.44,0.9667383331225496,nan
eeg_sub05_to_meg_sub03_test.txt,eeg,5,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub05_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,eeg_to_meg,matched_scope,81.08,81.08,nan,2.0,9.5,73.44,0.9057720769610261,nan,meg_to_eeg,matched_scope,79.07,79.07,nan,3.0,10.0,73.1,0.9244972808903503,nan
eeg_sub05_to_meg_sub04_test.txt,eeg,5,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub05_best.pt,checkpoints\experiments\brain-to-clip-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,eeg_to_meg,matched_scope,67.3,67.3,nan,0.5,5.0,64.43,0.9573551263001487,nan,meg_to_eeg,matched_scope,79.07,79.07,nan,0.5,4.5,63.34,0.8010623498166183,nan
