modality,split,evaluation_scope,shared_group,shared_only,count,m2i_top1_mean,m2i_top1_std,m2i_top1_min,m2i_top1_max,m2i_top5_mean,m2i_top5_std,m2i_top5_min,m2i_top5_max,m2i_two_way_mean,m2i_two_way_std,m2i_two_way_min,m2i_two_way_max,baseline_top1_pct_mean,baseline_top1_pct_std,baseline_top1_pct_min,baseline_top1_pct_max,baseline_top5_pct_mean,baseline_top5_pct_std,baseline_top5_pct_min,baseline_top5_pct_max,retrieval_dataset_size_mean,retrieval_dataset_size_std,retrieval_dataset_size_min,retrieval_dataset_size_max,number_of_classes_mean,number_of_classes_std,number_of_classes_min,number_of_classes_max,i2m_top1_mean,i2m_top1_std,i2m_top1_min,i2m_top1_max,i2m_top5_mean,i2m_top5_std,i2m_top5_min,i2m_top5_max,i2m_two_way_mean,i2m_two_way_std,i2m_two_way_min,i2m_two_way_max
eeg,test,pair,shared-eeg-meg,True,4,4.625,2.3015,1.5,7.5,18.125,6.5132,10.5,27.0,81.8375,5.4355,74.4,88.48,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,3.625,2.6309,1.0,8.0,12.375,5.1036,5.5,19.5,74.045,8.2329,62.55,84.78
meg,test,pair,shared-eeg-meg,True,4,6.375,2.7698,3.0,10.0,20.75,7.9804,11.0,32.0,77.6325,7.3222,69.79,86.23,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,3.5,1.118,2.0,5.0,16.125,6.0143,7.5,23.5,73.5825,7.0947,66.19,82.11
