file_name,modality,subject,split,evaluation_scope,shared_group,shared_only,candidate_count,checkpoint,baseline_top1_pct,baseline_top5_pct,retrieval_dataset_size,number_of_classes,m2i_top1,m2i_top5,m2i_two_way,i2m_top1,i2m_top5,i2m_two_way
evaluation_sub01_test.txt,eeg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub01_best.pt,0.5,2.5,200,200,1.5,10.5,74.4,1.0,5.5,62.55
evaluation_sub02_test.txt,eeg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub02_best.pt,0.5,2.5,200,200,6.0,21.5,85.27,3.0,14.0,77.85
evaluation_sub03_test.txt,eeg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub03_best.pt,0.5,2.5,200,200,3.5,13.5,79.2,2.5,10.5,71.0
evaluation_sub04_test.txt,eeg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\eeg\eeg_brainalign_sub04_best.pt,0.5,2.5,200,200,7.5,27.0,88.48,8.0,19.5,84.78
evaluation_sub01_test.txt,meg,1,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,0.5,2.5,200,200,4.5,16.0,70.98,4.0,14.0,66.96
evaluation_sub02_test.txt,meg,2,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,0.5,2.5,200,200,10.0,32.0,86.23,5.0,23.5,82.11
evaluation_sub03_test.txt,meg,3,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,0.5,2.5,200,200,8.0,24.0,83.53,3.0,19.5,79.07
evaluation_sub04_test.txt,meg,4,test,pair,shared-eeg-meg,True,200,checkpoints\experiments\clip-anchor-xmodal-v1\conversion\shared-eeg-meg\meg\meg_brainalign_sub04_temporalcnn_best.pt,0.5,2.5,200,200,3.0,11.0,69.79,2.0,7.5,66.19
