conversion,clip_2_way_decoding_accuracy,normalized_clip_2_way_decoding_accuracy,normalized_clip_2_way_decoding_accuracy_full_reference,split,evaluation_scope,shared_group,shared_only,pair_count
EEG to MEG,0.7095560000000001,0.9178,nan,test,pair,shared-eeg-meg,True,16
MEG to EEG,0.731731,0.8965,nan,test,pair,shared-eeg-meg,True,16
