source_modality,target_modality,split,evaluation_scope,shared_group,shared_only,count,forward_top1_mean,forward_top1_std,forward_top1_min,forward_top1_max,forward_top5_mean,forward_top5_std,forward_top5_min,forward_top5_max,forward_two_way_mean,forward_two_way_std,forward_two_way_min,forward_two_way_max,forward_normalized_two_way_mean,forward_normalized_two_way_std,forward_normalized_two_way_min,forward_normalized_two_way_max,reverse_top1_mean,reverse_top1_std,reverse_top1_min,reverse_top1_max,reverse_top5_mean,reverse_top5_std,reverse_top5_min,reverse_top5_max,reverse_two_way_mean,reverse_two_way_std,reverse_two_way_min,reverse_two_way_max,reverse_normalized_two_way_mean,reverse_normalized_two_way_std,reverse_normalized_two_way_min,reverse_normalized_two_way_max
eeg,fmri,test,pair,shared-eeg-fmri,True,30,1.5167,1.0991,0.5,5.0,5.9333,2.0483,2.0,10.5,61.6893,4.7938,50.5,69.32,0.6571,0.0494,0.5379,0.741,1.2667,0.9195,0.0,3.5,5.95,2.5244,1.5,11.5,61.583,4.9179,50.65,68.78,0.6799,0.0508,0.5607,0.7607
eeg,fmri,test,three_way,shared-eeg-fmri-meg,True,30,1.4333,0.9286,0.0,4.0,5.8667,2.4628,1.5,12.0,60.983,5.3106,48.11,71.21,0.6496,0.0559,0.5143,0.7612,1.3167,0.9788,0.0,4.0,6.35,2.6961,2.0,14.0,60.967,5.4302,48.47,71.22,0.6733,0.059,0.5366,0.7578
eeg,meg,test,pair,shared-eeg-meg,True,40,2.925,1.4939,0.5,6.0,12.725,4.3301,6.0,26.0,72.8918,5.9635,61.96,83.12,0.8781,0.0331,0.796,0.9378,3.1875,1.7345,0.0,9.0,12.6,4.912,4.0,23.5,73.41,5.7652,62.45,83.02,0.8107,0.0626,0.6875,0.9106
eeg,meg,test,three_way,shared-eeg-fmri-meg,True,40,0.8125,0.7305,0.0,3.5,4.0375,1.9634,0.5,9.0,57.2343,6.7451,47.7,70.7,0.6891,0.0573,0.5554,0.7977,0.8125,0.8418,0.0,5.0,3.9625,2.0658,1.0,8.5,57.1412,6.7423,48.05,70.96,0.6311,0.0743,0.529,0.7949
meg,fmri,test,pair,shared-fmri-meg,True,12,1.0,0.736,0.0,2.5,5.1667,2.5522,2.0,10.0,60.0158,5.5202,53.27,69.55,0.6394,0.0585,0.5647,0.7263,1.2083,0.9004,0.0,2.5,6.2917,3.3069,2.5,14.0,60.2733,5.7664,53.28,70.26,0.7254,0.0314,0.6866,0.7927
meg,fmri,test,three_way,shared-eeg-fmri-meg,True,12,0.875,0.5449,0.0,2.0,3.875,1.2269,2.0,6.0,55.6058,3.6387,49.61,59.97,0.5925,0.0393,0.5303,0.6497,0.7083,0.5937,0.0,2.0,3.9167,1.4837,1.5,6.5,55.8458,3.3349,50.25,59.77,0.6741,0.0323,0.6284,0.765
