file_name,modality,subject,split,evaluation_scope,shared_group,shared_only,candidate_count,checkpoint,baseline_top1_pct,baseline_top5_pct,retrieval_dataset_size,number_of_classes,m2i_top1,m2i_top5,m2i_two_way,i2m_top1,i2m_top5,i2m_two_way
evaluation_sub01_test.txt,eeg,1,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\eeg\eeg_brainalign_sub01_best.pt,0.5,2.5,200,200,1.5,7.5,69.32,1.0,5.0,57.19
evaluation_sub02_test.txt,eeg,2,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\eeg\eeg_brainalign_sub02_best.pt,0.5,2.5,200,200,3.0,9.0,73.77,2.5,6.5,66.23
evaluation_sub03_test.txt,eeg,3,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\eeg\eeg_brainalign_sub03_best.pt,0.5,2.5,200,200,2.0,6.5,66.84,1.0,4.0,60.73
evaluation_sub01_test.txt,fmri,1,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\fmri\fmri_brainalign_sub01_best.pt,0.5,2.5,200,200,5.0,12.0,76.0,1.0,9.0,71.85
evaluation_sub02_test.txt,fmri,2,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\fmri\fmri_brainalign_sub02_best.pt,0.5,2.5,200,200,3.0,11.5,72.03,2.0,10.5,69.64
evaluation_sub03_test.txt,fmri,3,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\fmri\fmri_brainalign_sub03_best.pt,0.5,2.5,200,200,3.5,10.5,68.25,2.0,8.0,65.9
evaluation_sub01_test.txt,meg,1,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\meg\meg_brainalign_sub01_temporalcnn_best.pt,0.5,2.5,200,200,1.0,6.0,60.8,0.5,6.0,58.63
evaluation_sub02_test.txt,meg,2,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\meg\meg_brainalign_sub02_temporalcnn_best.pt,0.5,2.5,200,200,4.0,12.5,70.57,1.0,6.0,66.9
evaluation_sub03_test.txt,meg,3,test,three_way,shared-eeg-fmri-meg,True,200,checkpoints\experiments\joint-shared-pool-v1\conversion\shared-eeg-fmri-meg\meg\meg_brainalign_sub03_temporalcnn_best.pt,0.5,2.5,200,200,2.0,8.0,64.33,1.5,4.0,62.31
