modality,split,shared_only,count,m2i_top1_mean,m2i_top1_std,m2i_top1_min,m2i_top1_max,m2i_top5_mean,m2i_top5_std,m2i_top5_min,m2i_top5_max,m2i_two_way_mean,m2i_two_way_std,m2i_two_way_min,m2i_two_way_max,baseline_top1_pct_mean,baseline_top1_pct_std,baseline_top1_pct_min,baseline_top1_pct_max,baseline_top5_pct_mean,baseline_top5_pct_std,baseline_top5_pct_min,baseline_top5_pct_max,retrieval_dataset_size_mean,retrieval_dataset_size_std,retrieval_dataset_size_min,retrieval_dataset_size_max,number_of_classes_mean,number_of_classes_std,number_of_classes_min,number_of_classes_max,i2m_top1_mean,i2m_top1_std,i2m_top1_min,i2m_top1_max,i2m_top5_mean,i2m_top5_std,i2m_top5_min,i2m_top5_max,i2m_two_way_mean,i2m_two_way_std,i2m_two_way_min,i2m_two_way_max
eeg,test_200way,False,10,94.75,2.2389,91.5,98.5,94.75,2.2389,91.5,98.5,94.75,2.2389,91.5,98.5,0.5,0.0,0.5,0.5,2.5,0.0,2.5,2.5,200,0.0,200,200,200,0.0,200,200,94.75,2.2389,91.5,98.5,94.75,2.2389,91.5,98.5,94.75,2.2389,91.5,98.5
fmri,test,False,3,1.4133,0.5311,0.69,1.95,5.3,1.2577,3.78,6.86,77.7467,1.5007,75.65,79.08,0.1144,0.0,0.1144,0.1144,0.5721,0.0,0.5721,0.5721,874,0.0,874,874,874,0.0,874,874,1.87,0.4618,1.49,2.52,6.4467,1.4684,5.03,8.47,78.2367,1.654,75.96,79.84
meg,test,False,4,0.48,0.2804,0.18,0.76,2.25,1.4101,0.76,4.32,74.585,6.3375,68.1,84.71,0.0445,0.0,0.0445,0.0445,0.2227,0.0,0.2227,0.2227,2245,0.0,2245,2245,2245,0.0,2245,2245,0.5225,0.4396,0.09,1.2,2.105,1.5288,0.67,4.63,75.08,6.5581,68.17,85.53
